imdb_id,rate_date,rate
tt0903747,2018-01-08,10
tt0470752,2017-12-01,9
tt0119177,2017-11-24,9
tt1037705,2017-11-21,7
tt0418763,2017-11-15,8
tt0359950,2017-11-14,8
tt4698684,2017-11-12,8
tt0494222,2017-11-11,8
tt0379786,2017-11-11,9
tt3521164,2017-11-03,6
tt1700841,2017-11-02,6
tt6265828,2017-11-01,7
tt1638002,2017-10-31,6
tt2119532,2017-10-29,6
tt2406566,2017-10-27,7
tt5362988,2017-10-26,7
tt5290382,2017-10-25,8
tt4230076,2017-10-22,6
tt1790809,2017-10-17,6
tt1219827,2017-10-17,6
tt4630562,2017-10-15,4
tt3890160,2017-10-15,6
tt3896198,2017-10-14,6
tt3450958,2017-10-13,6
tt4425200,2017-10-12,6
tt0451279,2017-10-11,7
tt1959563,2017-10-11,6
tt2250912,2017-10-10,7
tt0468569,2017-09-26,10
tt0110912,2017-09-23,10
tt2015381,2017-09-18,7
tt2771200,2017-09-16,6
tt1334260,2017-09-16,7
tt3783958,2017-09-10,7
tt0399201,2017-09-03,6
tt1637688,2017-09-03,6
tt1189340,2017-08-19,7
tt0425112,2017-08-12,7
tt0361748,2017-08-11,8
tt5442430,2017-08-06,4
tt0780504,2017-07-22,8
tt0162065,2017-07-05,9
tt0118276,2017-06-25,9
tt0151804,2017-05-28,8
tt1156398,2017-05-28,7
tt5052448,2017-05-23,7
tt3315342,2017-05-23,7
tt0217869,2017-04-10,8
tt0910970,2017-04-09,10
tt4972582,2017-04-08,8
tt3322310,2017-04-06,8
tt1343092,2017-04-03,7
tt1878870,2017-03-30,7
tt3393786,2017-03-30,6
tt0081283,2017-03-25,6
tt3748528,2017-03-24,7
tt1216487,2017-03-21,7
tt0475784,2017-03-14,8
tt2085059,2017-03-10,8
tt1355644,2017-03-10,7
tt0285403,2017-03-04,9
tt2404435,2017-03-02,6
tt5491994,2017-02-12,10
tt1201607,2017-02-03,8
tt2543164,2017-02-03,8
tt0926084,2017-02-02,8
tt0417741,2017-02-01,8
tt0373889,2017-02-01,8
tt0330373,2017-01-31,8
tt0304141,2017-01-30,8
tt0295297,2017-01-29,8
tt0241527,2017-01-28,8
tt0371724,2017-01-26,7
tt0319061,2017-01-22,8
tt2547584,2017-01-21,7
tt0046183,2017-01-21,8
tt0307987,2017-01-20,7
tt0053285,2017-01-20,8
tt4263482,2017-01-19,7
tt1300851,2017-01-18,6
tt0333766,2017-01-17,9
tt0813715,2017-01-16,8
tt0144117,2017-01-12,7
tt0989757,2017-01-11,6
tt0246464,2017-01-11,7
tt2503944,2017-01-07,6
tt0496424,2017-01-06,9
tt0120768,2017-01-06,7
tt0949731,2016-12-31,4
tt1068680,2016-12-26,7
tt0038650,2016-12-26,9
tt3774114,2016-12-23,7
tt1570728,2016-12-22,8
tt0319343,2016-12-22,8
tt0079367,2016-12-19,6
tt4178092,2016-12-17,6
tt3567288,2016-12-15,6
tt1172049,2016-12-04,7
tt1386697,2016-12-03,6
tt3691740,2016-11-27,6
tt4302938,2016-11-17,7
tt2582782,2016-11-17,7
tt2277860,2016-11-15,7
tt1489889,2016-11-05,6
tt0443680,2016-11-02,8
tt1182345,2016-10-27,8
tt3416828,2016-10-23,6
tt1022603,2016-10-22,8
tt0335266,2016-10-21,8
tt2861424,2016-10-20,9
tt3322314,2016-10-15,8
tt3488710,2016-10-01,7
tt0104652,2016-10-01,7
tt0876563,2016-09-29,7
tt1974419,2016-09-26,6
tt2013293,2016-09-25,7
tt1375666,2016-09-24,9
tt3385516,2016-09-24,7
tt3498820,2016-09-23,7
tt0139654,2016-09-23,8
tt4052882,2016-09-23,6
tt1345836,2016-09-20,9
tt0468569,2016-09-19,9
tt0440963,2016-09-18,8
tt0372784,2016-09-18,8
tt0372183,2016-09-17,8
tt0258463,2016-09-15,8
tt0369339,2016-09-13,7
tt0803096,2016-09-11,5
tt0378194,2016-09-08,8
tt1298650,2016-09-06,6
tt3268458,2016-09-06,8
tt0449088,2016-09-05,7
tt0383574,2016-09-02,7
tt0325980,2016-09-02,8
tt0266697,2016-09-01,8
tt0208092,2016-08-31,8
tt0114746,2016-08-30,8
tt0988045,2016-08-30,7
tt0166924,2016-08-28,8
tt0117951,2016-08-27,8
tt0172495,2016-08-25,8
tt0154506,2016-08-24,7
tt0325805,2016-08-23,7
tt3799694,2016-08-22,7
tt3040964,2016-08-21,7
tt0217505,2016-08-18,7
tt0268978,2016-08-13,8
tt0112641,2016-08-11,9
tt0057012,2016-08-09,9
tt1060277,2016-08-08,7
tt4196776,2016-08-08,6
tt0083866,2016-08-07,7
tt1441953,2016-08-06,7
tt0107048,2016-08-05,8
tt0113277,2016-08-05,10
tt0167404,2016-08-05,7
tt0116282,2016-08-03,8
tt0172156,2016-08-02,7
tt0112442,2016-07-31,8
tt0373469,2016-07-30,8
tt0485947,2016-07-29,8
tt0181689,2016-07-28,8
tt0180093,2016-07-27,8
tt4574334,2016-07-27,9
tt0111503,2016-07-23,6
tt0289879,2016-07-22,7
tt0804497,2016-07-21,8
tt0198781,2016-07-20,8
tt0268380,2016-07-19,8
tt0446029,2016-07-17,8
tt0086250,2016-07-16,9
tt3682448,2016-07-16,8
tt0094721,2016-07-16,8
tt2975590,2016-07-16,6
tt2293640,2016-07-04,6
tt5242396,2016-07-04,6
tt2267968,2016-06-29,7
tt0082406,2016-06-26,7
tt2096673,2016-06-24,8
tt1663202,2016-06-23,8
tt2948356,2016-06-23,8
tt1179933,2016-06-22,8
tt3659388,2016-06-22,8
tt2379713,2016-06-22,7
tt1392190,2016-06-21,9
tt0421054,2016-06-20,4
tt1431045,2016-06-19,8
tt3076658,2016-06-19,7
tt3460252,2016-06-19,8
tt0478970,2016-06-18,6
tt1152758,2016-06-17,9
tt2381249,2016-06-15,7
tt3397884,2016-06-14,8
tt1587707,2016-06-14,7
tt3170832,2016-06-11,8
tt1895587,2016-05-31,8
tt0102685,2016-05-30,7
tt1596363,2016-05-30,7
tt0062622,2016-05-29,9
tt3312830,2016-05-29,7
tt2446980,2016-05-25,5
tt2395427,2016-05-24,6
tt2488496,2016-05-22,9
tt2304933,2016-05-20,5
tt0795176,2016-05-18,10
tt0067185,2016-05-15,7
tt0472954,2016-04-30,8
tt0097757,2016-04-22,8
tt0374463,2016-04-02,9
tt0074486,2016-03-19,7
tt0119116,2016-03-19,7
tt0055031,2016-03-13,8
tt0111257,2016-03-11,7
tt0209144,2016-03-10,9
tt0067023,2016-03-07,7
tt2707408,2016-03-04,9
tt1133985,2016-02-27,6
tt1474684,2016-02-19,7
tt0094737,2016-02-13,8
tt0407887,2016-02-09,9
tt1130884,2016-02-07,8
tt0118715,2016-02-06,9
tt0338013,2016-02-05,9
tt2357547,2016-02-04,8
tt4158110,2016-02-02,8
tt0286486,2016-01-28,9
tt0133363,2016-01-28,9
tt3715320,2016-01-16,6
tt3165612,2016-01-07,6
tt2637276,2016-01-04,6
tt1638355,2016-01-03,8
tt1798684,2016-01-03,6
tt0369610,2016-01-02,6
tt1340138,2016-01-02,7
tt2356777,2016-01-01,9
tt0290978,2015-12-29,9
tt1964418,2015-12-29,7
tt0804522,2015-12-26,6
tt0272338,2015-12-25,8
tt2402101,2015-12-25,6
tt3079380,2015-12-24,5
tt2848292,2015-12-24,5
tt2802850,2015-12-24,9
tt2582496,2015-12-23,8
tt0096754,2015-12-20,8
tt1791682,2015-12-12,6
tt0165361,2015-12-01,6
tt0047528,2015-11-18,7
tt1083845,2015-11-14,6
tt0118842,2015-11-10,7
tt2737050,2015-11-10,6
tt0094812,2015-11-10,6
tt0044706,2015-11-06,8
tt0061811,2015-11-05,8
tt0374546,2015-11-04,8
tt0031679,2015-11-03,9
tt0017136,2015-11-02,7
tt0054997,2015-11-02,9
tt0113247,2015-11-02,8
tt1981677,2015-11-01,6
tt0032551,2015-11-01,8
tt3450650,2015-10-31,2
tt0133152,2015-10-31,6
tt2343793,2015-10-30,7
tt1661199,2015-10-30,6
tt1243974,2015-10-28,6
tt0963178,2015-10-27,7
tt2243973,2015-10-24,9
tt0249462,2015-10-18,7
tt0367279,2015-10-17,9
