position,"const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
1,"tt3715320","Sat Jan 16 00:00:00 2016","","","Irrational Man","Feature Film","Woody Allen","6","6.7","95","2015","drama, mystery","17424","2015-05-15","http://www.imdb.com/title/tt3715320/"
2,"tt3165612","Thu Jan  7 00:00:00 2016","","","Sleeping with Other People","Feature Film","Leslye Headland","6","6.5","101","2015","comedy","10936","2015-01-24","http://www.imdb.com/title/tt3165612/"
3,"tt2637276","Mon Jan  4 00:00:00 2016","","","Ted 2","Feature Film","Seth MacFarlane","6","6.4","115","2015","comedy","91461","2015-06-25","http://www.imdb.com/title/tt2637276/"
4,"tt1638355","Sun Jan  3 00:00:00 2016","","","The Man from U.N.C.L.E.","Feature Film","Guy Ritchie","8","7.4","116","2015","action, adventure, comedy","128969","2015-08-02","http://www.imdb.com/title/tt1638355/"
5,"tt1798684","Sun Jan  3 00:00:00 2016","","","Southpaw","Feature Film","Antoine Fuqua","6","7.5","124","2015","action, drama, sport","118247","2015-06-15","http://www.imdb.com/title/tt1798684/"
6,"tt0369610","Sat Jan  2 00:00:00 2016","","","Jurassic World","Feature Film","Colin Trevorrow","6","7.1","124","2015","action, adventure, sci_fi, thriller","361999","2015-05-29","http://www.imdb.com/title/tt0369610/"
7,"tt1340138","Sat Jan  2 00:00:00 2016","","","Terminator Genisys","Feature Film","Alan Taylor","7","6.6","126","2015","action, adventure, sci_fi, thriller","161162","2015-06-21","http://www.imdb.com/title/tt1340138/"
8,"tt2356777","Fri Jan  1 00:00:00 2016","","","True Detective","TV Series","","9","9.2","55","2014","crime, drama, mystery, thriller","299203","2014-01-12","http://www.imdb.com/title/tt2356777/"
9,"tt1964418","Tue Dec 29 00:00:00 2015","","","Tomorrowland","Feature Film","Brad Bird","7","6.5","130","2015","action, adventure, family, mystery, sci_fi","104930","2015-05-09","http://www.imdb.com/title/tt1964418/"
10,"tt0290978","Tue Dec 29 00:00:00 2015","","","The Office","TV Series","","9","8.6","30","2001","comedy, drama","63432","2001-07-09","http://www.imdb.com/title/tt0290978/"
11,"tt0804522","Sat Dec 26 00:00:00 2015","","","Rendition","Feature Film","Gavin Hood","6","6.8","122","2007","drama, thriller","45990","2007-09-07","http://www.imdb.com/title/tt0804522/"
12,"tt2402101","Fri Dec 25 00:00:00 2015","","","Dark Places","Feature Film","Gilles Paquet-Brenner","6","6.2","113","2015","drama, mystery, thriller","21493","2015-03-31","http://www.imdb.com/title/tt2402101/"
13,"tt0272338","Fri Dec 25 00:00:00 2015","","","Punch-Drunk Love","Feature Film","Paul Thomas Anderson","8","7.3","95","2002","comedy, drama, romance, thriller","104804","2002-05-19","http://www.imdb.com/title/tt0272338/"
14,"tt2802850","Thu Dec 24 00:00:00 2015","","","Fargo","TV Series","","9","9.1","53","2014","crime, drama, thriller","141382","2014-04-15","http://www.imdb.com/title/tt2802850/"
15,"tt3079380","Thu Dec 24 00:00:00 2015","","","Spy","Feature Film","Paul Feig","5","7.1","119","2015","action, comedy, crime","135327","2015-03-15","http://www.imdb.com/title/tt3079380/"
16,"tt2848292","Thu Dec 24 00:00:00 2015","","","Pitch Perfect 2","Feature Film","Elizabeth Banks","5","6.5","115","2015","comedy, music","81642","2015-04-20","http://www.imdb.com/title/tt2848292/"
17,"tt2582496","Wed Dec 23 00:00:00 2015","","","Me and Earl and the Dying Girl","Feature Film","Alfonso Gomez-Rejon","8","7.8","105","2015","comedy, drama","54204","2015-01-25","http://www.imdb.com/title/tt2582496/"
18,"tt0096754","Sun Dec 20 00:00:00 2015","","","The Abyss","Feature Film","James Cameron","8","7.6","145","1989","adventure, drama, sci_fi, thriller","126368","1989-08-09","http://www.imdb.com/title/tt0096754/"
19,"tt1791682","Sat Dec 12 00:00:00 2015","","","While We're Young","Feature Film","Noah Baumbach","6","6.4","97","2014","comedy, drama","25445","2014-09-06","http://www.imdb.com/title/tt1791682/"
20,"tt0165361","Tue Dec  1 00:00:00 2015","","","Highway","Feature Film","James Cox","6","6.3","97","2002","crime, drama","5025","2002-03-26","http://www.imdb.com/title/tt0165361/"
21,"tt0047528","Wed Nov 18 00:00:00 2015","","","La Strada","Feature Film","Federico Fellini","7","8.1","108","1954","drama","45079","1954-09-06","http://www.imdb.com/title/tt0047528/"
22,"tt1083845","Sat Nov 14 00:00:00 2015","","","Ballet Shoes","TV Movie","Sandra Goldbacher","6","6.8","85","2007","drama, family","6813","2007-12-26","http://www.imdb.com/title/tt1083845/"
23,"tt0094812","Tue Nov 10 00:00:00 2015","","","Bull Durham","Feature Film","Ron Shelton","6","7.1","108","1988","comedy, romance, sport","35387","1988-06-15","http://www.imdb.com/title/tt0094812/"
